generation,stage,stage_code,chi2,rms_ms,K_ms,P_days,e,rel_err_K,rel_err_P
63,de,0,1.1951037527e+02,2.5074459037e+00,3.2612706045e+01,1.4706580237e+02,2.5588220965e-01,6.9074673881e-02,2.9437127492e-03
64,de,0,1.1951037527e+02,2.5074459037e+00,3.2612706045e+01,1.4706580237e+02,2.5588220965e-01,6.9074673881e-02,2.9437127492e-03
65,de,0,1.0250827840e+02,2.3222460722e+00,3.1985432425e+01,1.4676662840e+02,2.6530012202e-01,4.8512064329e-02,4.9720108453e-03
66,de,0,1.0250827840e+02,2.3222460722e+00,3.1985432425e+01,1.4676662840e+02,2.6530012202e-01,4.8512064329e-02,4.9720108453e-03
67,de,0,1.0250827840e+02,2.3222460722e+00,3.1985432425e+01,1.4676662840e+02,2.6530012202e-01,4.8512064329e-02,4.9720108453e-03
68,de,0,1.0250827840e+02,2.3222460722e+00,3.1985432425e+01,1.4676662840e+02,2.6530012202e-01,4.8512064329e-02,4.9720108453e-03
69,de,0,1.0250827840e+02,2.3222460722e+00,3.1985432425e+01,1.4676662840e+02,2.6530012202e-01,4.8512064329e-02,4.9720108453e-03
70,de,0,1.0250827840e+02,2.3222460722e+00,3.1985432425e+01,1.4676662840e+02,2.6530012202e-01,4.8512064329e-02,4.9720108453e-03
71,de,0,1.0250827840e+02,2.3222460722e+00,3.1985432425e+01,1.4676662840e+02,2.6530012202e-01,4.8512064329e-02,4.9720108453e-03
72,de,0,1.0250827840e+02,2.3222460722e+00,3.1985432425e+01,1.4676662840e+02,2.6530012202e-01,4.8512064329e-02,4.9720108453e-03
73,de,0,1.0250827840e+02,2.3222460722e+00,3.1985432425e+01,1.4676662840e+02,2.6530012202e-01,4.8512064329e-02,4.9720108453e-03
74,de,0,1.0250827840e+02,2.3222460722e+00,3.1985432425e+01,1.4676662840e+02,2.6530012202e-01,4.8512064329e-02,4.9720108453e-03
