phase,model_velocity_ms
2.857142857142856984e-01,-3.145716611513887173e+01
2.882205513784460993e-01,-3.207364758825940498e+01
2.907268170426065002e-01,-3.268005025704728439e+01
2.932330827067669010e-01,-3.327624100453427047e+01
2.957393483709273019e-01,-3.386208950038458454e+01
2.982456140350877027e-01,-3.443746821560883120e+01
3.007518796992481036e-01,-3.500225243642439921e+01
3.032581453634085045e-01,-3.555632027727519073e+01
3.057644110275689053e-01,-3.609955269302639635e+01
3.082706766917293062e-01,-3.663183349034791547e+01
3.107769423558897071e-01,-3.715304933830242362e+01
3.132832080200501079e-01,-3.766308977815150172e+01
3.157894736842105088e-01,-3.816184723239614129e+01
3.182957393483709096e-01,-3.864921701306516866e+01
3.208020050125313105e-01,-3.912509732926902473e+01
3.233082706766917114e-01,-3.958938929403161922e+01
