phase,model_velocity_ms
1.403508771929824483e-01,9.572239187216061040e+00
1.428571428571428492e-01,9.566685109227465844e+00
1.453634085213032501e-01,9.558762464150012406e+00
1.478696741854636509e-01,9.548619587724610724e+00
1.503759398496240518e-01,9.536394153058887824e+00
1.528822055137844527e-01,9.522214037843440337e+00
1.553884711779448535e-01,9.506198112654169918e+00
1.578947368421052544e-01,9.488456958206269221e+00
1.604010025062656553e-01,9.469093518584466906e+00
1.629072681704260561e-01,9.448203696727308198e+00
1.654135338345864570e-01,9.425876897779936314e+00
1.679197994987468578e-01,9.402196525340729139e+00
1.704260651629072587e-01,9.377240435103187721e+00
1.729323308270676596e-01,9.351081349928767494e+00
1.754385964912280604e-01,9.323787239971707663e+00
1.779448621553884613e-01,9.295421671107764183e+00
1.804511278195488622e-01,9.266044124589809527e+00
1.829573934837092630e-01,9.235710290559824287e+00
1.854636591478696639e-01,9.204472337785064795e+00
1.879699248120300648e-01,9.172379161752276744e+00
1.904761904761904656e-01,9.139476613044806186e+00
1.929824561403508665e-01,9.105807707740453338e+00
1.954887218045112673e-01,9.071412821400437920e+00
1.979949874686716682e-01,9.036329868069842064e+00
2.005012531328320691e-01,9.000594465575240122e+00
2.030075187969924699e-01,8.964240088284460839e+00
2.055137844611528708e-01,8.927298208384888412e+00
2.080200501253132717e-01,8.889798426639007545e+00
2.105263157894736725e-01,8.851768593488225534e+00
2.130325814536340734e-01,8.813234921296693614e+00
2.155388471177944743e-01,8.774222088455625013e+00
2.180451127819548751e-01,8.734753336004221325e+00
2.205513784461152760e-01,8.694850557365136012e+00
2.230576441102756768e-01,8.654534381739985349e+00
2.255639097744360777e-01,8.613824251662705933e+00
2.280701754385964786e-01,8.572738495165761918e+00
2.305764411027568794e-01,8.531294392974997365e+00
2.330827067669172803e-01,8.489508241113755460e+00
2.355889724310776812e-01,8.447395409264686350e+00
2.380952380952380820e-01,8.404970395208589906e+00
2.406015037593984829e-01,8.362246875633138288e+00
2.431077694235588837e-01,8.319237753580205563e+00
2.456140350877192846e-01,8.275955202778616737e+00
2.481203007518796855e-01,8.232410709089158729e+00
2.506265664160400863e-01,8.188615109270454440e+00
2.531328320802004872e-01,8.144578627257631709e+00
2.556390977443608881e-01,8.100310908130683885e+00
2.581453634085212889e-01,8.055821049935309119e+00
2.606516290726816898e-01,8.011117633506602331e+00
2.631578947368420907e-01,7.966208750434148556e+00
2.656641604010024915e-01,7.921102029296502423e+00
2.681704260651628924e-01,7.875804660283433734e+00
2.706766917293232932e-01,7.830323418315096262e+00
2.731829573934836941e-01,7.784664684759396991e+00
2.756892230576440950e-01,7.738834467841114062e+00
2.781954887218044958e-01,7.692838421829428341e+00
2.807017543859648967e-01,7.646681865084286045e+00
2.832080200501252976e-01,7.600369797035988029e+00
2.857142857142856984e-01,7.553906914167204611e+00
2.882205513784460993e-01,7.507297625061462476e+00
2.907268170426065002e-01,7.460546064577782133e+00
2.932330827067669010e-01,7.413656107206736401e+00
2.957393483709273019e-01,7.366631379659463796e+00
2.982456140350877027e-01,7.319475272737479443e+00
3.007518796992481036e-01,7.272190952527862073e+00
3.032581453634085045e-01,7.224781370965294158e+00
3.057644110275689053e-01,7.177249275799626460e+00
3.082706766917293062e-01,7.129597220004994185e+00
3.107769423558897071e-01,7.081827570664059657e+00
3.132832080200501079e-01,7.033942517358760860e+00
3.157894736842105088e-01,6.985944080096797570e+00
3.182957393483709096e-01,6.937834116801179896e+00
3.208020050125313105e-01,6.889614330388379670e+00
3.233082706766917114e-01,6.841286275458901223e+00
3.258145363408521122e-01,6.792851364622603860e+00
3.283208020050125131e-01,6.744310874479642059e+00
3.308270676691729140e-01,6.695665951276506433e+00
3.333333333333333148e-01,6.646917616255501926e+00
3.358395989974937157e-01,6.598066770714712703e+00
3.383458646616541166e-01,6.549114200794536877e+00
3.408521303258145174e-01,6.500060582005791510e+00
3.433583959899749183e-01,6.450906483513505485e+00
3.458646616541353191e-01,6.401652372189582607e+00
3.483709273182957200e-01,6.352298616446709900e+00
3.508771929824561209e-01,6.302845489865259054e+00
3.533834586466165217e-01,6.253293174623943962e+00
3.558897243107769226e-01,6.203641764744611820e+00
3.583959899749373235e-01,6.153891269160722821e+00
3.609022556390977243e-01,6.104041614618668454e+00
3.634085213032581252e-01,6.054092648420303924e+00
3.659147869674185261e-01,6.004044141014793112e+00
3.684210526315789269e-01,5.953895788447252535e+00
3.709273182957393278e-01,5.903647214671271293e+00
3.734335839598997286e-01,5.853297973731921289e+00
3.759398496240601295e-01,5.802847551825626837e+00
3.784461152882205304e-01,5.752295369242593992e+00
3.809523809523809312e-01,5.701640782197564761e+00
3.834586466165413321e-01,5.650883084553944613e+00
3.859649122807017330e-01,5.600021509446277079e+00
3.884711779448621338e-01,5.549055230805704397e+00
3.909774436090225347e-01,5.497983364792734307e+00
3.934837092731829356e-01,5.446804971141410157e+00
3.959899749373433364e-01,5.395519054418785210e+00
3.984962406015037373e-01,5.344124565203280497e+00
4.010025062656641381e-01,5.292620401185363477e+00
4.035087719298245390e-01,5.241005408193776027e+00
4.060150375939849399e-01,5.189278381150311148e+00
4.085213032581453407e-01,5.137438064956025841e+00
4.110275689223057416e-01,5.085483155311511183e+00
4.135338345864661425e-01,5.033412299473826401e+00
4.160401002506265433e-01,4.981224096952327152e+00
4.185463659147869442e-01,4.928917100145767449e+00
4.210526315789473450e-01,4.876489814922626564e+00
4.235588972431077459e-01,4.823940701146724130e+00
4.260651629072681468e-01,4.771268173149859848e+00
4.285714285714285476e-01,4.718470600153279904e+00
4.310776942355889485e-01,4.665546306639544838e+00
4.335839598997493494e-01,4.612493572676271469e+00
4.360902255639097502e-01,4.559310634193206369e+00
4.385964912280701511e-01,4.505995683213892988e+00
4.411027568922305520e-01,4.452546868043186556e+00
4.436090225563909528e-01,4.398962293411692315e+00
4.461152882205513537e-01,4.345240020578251539e+00
4.486215538847117545e-01,4.291378067391312001e+00
4.511278195488721554e-01,4.237374408310258467e+00
4.536340852130325563e-01,4.183226974387320496e+00
4.561403508771929571e-01,4.128933653210939525e+00
4.586466165413533580e-01,4.074492288811216945e+00
4.611528822055137589e-01,4.019900681528044473e+00
4.636591478696741597e-01,3.965156587842515901e+00
