star_x_au,star_z_au,planet_x_au,planet_z_au
2.263567208936025565e-04,-2.886094901158645608e-04,-3.061605691337411783e-01,3.903610434116761563e-01
2.327957499816914113e-04,-2.852424602067181697e-04,-3.148697287402925094e-01,3.858069405372175353e-01
2.391533610393600079e-04,-2.817756623676835473e-04,-3.234687657472904432e-01,3.811178957618719942e-01
2.454282789562743758e-04,-2.782114267590033493e-04,-3.319559554941901580e-01,3.762970607622642683e-01
2.516192982539252102e-04,-2.745520790693206539e-04,-3.403296675015209383e-01,3.713475811669219029e-01
2.577252814510386258e-04,-2.707999385702855718e-04,-3.485883632600093041e-01,3.662725939250176532e-01
2.637451574028345982e-04,-2.669573162875517715e-04,-3.567305939843301577e-01,3.610752248325365676e-01
2.696779196202103994e-04,-2.630265132853180292e-04,-3.647549983397048723e-01,3.557585862120197229e-01
2.755226245745320086e-04,-2.590098190613709050e-04,-3.726603001490334521e-01,3.503257747417655721e-01
2.812783899933278195e-04,-2.549095100494117722e-04,-3.804453060877224235e-01,3.447798694301414946e-01
2.869443931518024776e-04,-2.507278482253191528e-04,-3.881089033728570281e-01,3.391239297304723954e-01
2.925198691647144670e-04,-2.464670798138846107e-04,-3.956500574528678538e-01,3.333609937918260990e-01
2.980041092828079430e-04,-2.421294340924801136e-04,-4.030678097033557061e-01,3.274940768409043135e-01
3.033964591976412765e-04,-2.377171222880551714e-04,-4.103612751342745057e-01,3.215261696901672850e-01
3.086963173583239330e-04,-2.332323365638269577e-04,-4.175296401132201907e-01,3.154602373672741877e-01
3.139031333033533611e-04,-2.286772490920098422e-04,-4.245721601091437258e-01,3.092992178608950371e-01
3.190164060104424258e-04,-2.240540112089335005e-04,-4.314881574603963710e-01,3.030460209779595737e-01
3.240356822669349210e-04,-2.193647526489148135e-04,-4.382770191706238938e-01,2.967035273074252189e-01
3.289605550631382420e-04,-2.146115808532856586e-04,-4.449381947356543798e-01,2.902745872856961062e-01
3.337906620106360759e-04,-2.097965803510193252e-04,-4.514711940041756799e-01,2.837620203588849255e-01
3.385256837874057686e-04,-2.049218122074586228e-04,-4.578755850746659140e-01,2.771686142371859729e-01
3.431653426113306211e-04,-1.999893135377138302e-04,-4.641509922307313629e-01,2.704971242367175122e-01
3.477094007434860579e-04,-1.950010970813730905e-04,-4.702970939167131492e-01,2.637502727042930206e-01
3.521576590223723414e-04,-1.899591508352503925e-04,-4.763136207551535439e-01,2.569307485206916430e-01
3.565099554300853874e-04,-1.848654377409845052e-04,-4.822003536074576102e-01,2.500412066781170783e-01
3.607661636912365042e-04,-1.797218954243930621e-04,-4.879571216788515797e-01,2.430842679276599694e-01
3.649261919052752628e-04,-1.745304359835851151e-04,-4.935838006685211443e-01,2.360625184927068465e-01
3.689899812127180241e-04,-1.692929458229327285e-04,-4.990803109656069547e-01,2.289785098443776479e-01
3.729575044956493445e-04,-1.640112855301047807e-04,-5.044466158915585918e-01,2.218347585352067608e-01
3.768287651127344038e-04,-1.586872897934692714e-04,-5.096827199891651450e-01,2.146337460874248038e-01
3.806037956688695782e-04,-1.533227673572737316e-04,-5.147886673584367578e-01,2.073779189323373129e-01
3.842826568194891560e-04,-1.479195010121172010e-04,-5.197645400393592352e-01,2.000696883974379392e-01
3.878654361094526827e-04,-1.424792476183315356e-04,-5.246104564414236782e-01,1.927114307380327074e-01
3.913522468463520370e-04,-1.370037381599915351e-04,-5.293265698197076041e-01,1.853054872102920247e-01
3.947432270079965729e-04,-1.314946778273755389e-04,-5.339130667971853095e-01,1.778541641827834363e-01
3.980385381837677600e-04,-1.259537461257981814e-04,-5.383701659328504752e-01,1.703597332836739864e-01
4.012383645494711727e-04,-1.203825970088343912e-04,-5.426981163351422000e-01,1.628244315809235232e-01
4.043429118752578919e-04,-1.147828590340504225e-04,-5.468971963201023634e-01,1.552504617929200137e-01
4.073524065661397893e-04,-1.091561355394508751e-04,-5.509677121136160594e-01,1.476399925271343061e-01
4.102670947345801733e-04,-1.035040048389423338e-04,-5.549099965970377690e-01,1.399951585444959845e-01
4.130872413046039813e-04,-9.782802043520192389e-05,-5.587244080954484327e-01,1.323180610473103647e-01
4.158131291468410195e-04,-9.212971124842560526e-05,-5.624113292077502768e-01,1.246107679886540170e-01
4.184450582438859877e-04,-8.641058185951367657e-05,-5.659711656777692834e-01,1.168753144012970174e-01
4.209833448853412510e-04,-8.067211276633075409e-05,-5.694043453055031012e-01,1.091137027443094404e-01
4.234283208918853281e-04,-7.491576065175475539e-05,-5.727113168976289970e-01,1.013279032656131257e-01
4.257803328676983091e-04,-6.914295866230361681e-05,-5.758925492563657933e-01,9.351985437884062502e-02
4.280397414805630512e-04,-6.335511669619965213e-05,-5.789485302057693072e-01,8.569146305295874400e-02
4.302069207689522209e-04,-5.755362169979963541e-05,-5.818797656545279251e-01,7.784460521320731019e-02
4.322822574754091904e-04,-5.173983797138362155e-05,-5.846867786943202860e-01,6.998112615199136854e-02
4.342661504055226641e-04,-4.591510747135907241e-05,-5.873701087327929393e-01,6.210284094845009567e-02
4.361590098118002805e-04,-4.008075013799538303e-05,-5.899303106602122870e-01,5.421153489550602916e-02
4.379612568017435020e-04,-3.423806420786152093e-05,-5.923679540488524520e-01,4.630896393327552790e-02
4.396733227694328344e-04,-2.838832654019319708e-05,-5.946836223841815983e-01,3.839685508779417528e-02
4.412956488499362052e-04,-2.253279294446809274e-05,-5.968779123269170039e-01,3.047690691408117339e-02
4.428286853958594621e-04,-1.667269851051614751e-05,-5.989514330050298430e-01,2.255078994263270964e-02
4.442728914753681395e-04,-1.080925794053886997e-05,-6.009048053347899598e-01,1.462014712849721808e-02
4.456287343910163117e-04,-4.943665882455492286e-06,-6.027386613699543538e-01,6.686594302145395206e-03
4.468966892187304393e-04,9.229027359642362151e-07,-6.044536436782167454e-01,-1.248279378595857280e-03
4.480772383663054938e-04,6.789292372681253582e-06,-6.060504047440471442e-01,-9.182910976222674604e-03
4.491708711507853900e-04,1.265436653714565110e-05,-6.075296063970747618e-01,-1.711576332147318746e-02
4.501780833941075631e-04,1.851700745666021714e-05,-6.088919192651733869e-01,-2.504532456206490579e-02
4.510993770364084407e-04,2.437611574374349619e-05,-6.101380222514358742e-01,-3.297010771278401087e-02
4.519352597663998396e-04,3.023061006485538042e-05,-6.112686020342359416e-01,-4.088865020741749151e-02
4.526862446682365670e-04,3.607942681081841610e-05,-6.122843525895961259e-01,-4.879951345297893484e-02
4.533528498843132810e-04,4.192151976924035075e-05,-6.131859747351011691e-01,-5.670128238664102344e-02
4.539355982934410315e-04,4.775585979921674048e-05,-6.139741756946132112e-01,-6.459256503575205866e-02
4.544350172038689128e-04,5.358143450856836103e-05,-6.146496686830658085e-01,-7.247199208128071724e-02
4.548516380606303046e-04,5.939724793384421866e-05,-6.152131725106327886e-01,-8.033821642500175997e-02
4.551859961667073236e-04,6.520232022330004211e-05,-6.156654112055864880e-01,-8.818991276070599350e-02
4.554386304175226134e-04,7.099568732304101855e-05,-6.160071136551843463e-01,-9.602577714969010025e-02
4.556100830482822371e-04,7.677640066649878332e-05,-6.162390132639327112e-01,-1.038445266007565204e-01
4.557008993937041157e-04,8.254352686739521055e-05,-6.163618476286084613e-01,-1.116448986549289507e-01
4.557116276596868943e-04,8.829614741632775760e-05,-6.163763582294252696e-01,-1.194256509750666467e-01
4.556428187064810536e-04,9.403335838109706877e-05,-6.162832901367620853e-01,-1.271855609405399268e-01
4.554950258429446889e-04,9.975427011088139611e-05,-6.160833917328815135e-01,-1.349234252471091799e-01
4.552688046314736924e-04,1.054580069443501977e-04,-6.157774144480868683e-01,-1.426380595121315986e-01
4.549647127032157017e-04,1.111437069217959385e-04,-6.153661125107867669e-01,-1.503282978852026053e-01
4.545833095831831394e-04,1.168105215013515304e-04,-6.148502427109525659e-01,-1.579929926643235394e-01
4.541251565249017027e-04,1.224576152793500894e-04,-6.142305641764690405e-01,-1.656310139176722651e-01
4.535908163542351598e-04,1.280841657148735341e-04,-6.135078381619003540e-01,-1.732412491110389141e-01
4.529808533220469917e-04,1.336893628585271204e-04,-6.126828278492045810e-01,-1.808226027409779724e-01
4.522958329653648337e-04,1.392724090854687241e-04,-6.117562981599509175e-01,-1.883739959737147918e-01
4.515363219767316210e-04,1.448325188327128884e-04,-6.107290155786103680e-01,-1.958943662898340599e-01
4.507028880814332441e-04,1.503689183407233251e-04,-6.096017479864992428e-01,-2.033826671347688797e-01
4.497960999223091704e-04,1.558808453993001030e-04,-6.083752645059768982e-01,-2.108378675750983977e-01
4.488165269518569261e-04,1.613675490977613887e-04,-6.070503353545130265e-01,-2.182589519606542294e-01
4.477647393313587934e-04,1.668282895794151845e-04,-6.056277317082494616e-01,-2.256449195924288553e-01
4.466413078367650934e-04,1.722623378003086518e-04,-6.041082255747016738e-01,-2.329947843962706377e-01
4.454468037710782361e-04,1.776689752922411129e-04,-6.024925896742541198e-01,-2.403075746023451420e-01
4.441817988829940811e-04,1.830474939300201595e-04,-6.007815973301174894e-01,-2.475823324303350892e-01
