time_days,model_velocity_ms,truth_velocity_ms
1.404758795761977979e+02,3.651414441892552531e+01,3.567981156271086718e+01
1.406774548671642435e+02,3.664851003935154949e+01,3.578760350621597297e+01
1.408790301581306892e+02,3.678073458782381522e+01,3.589315880001856840e+01
1.410806054490971633e+02,3.691077412955498005e+01,3.599644150195526038e+01
1.412821807400636089e+02,3.703858426533180648e+01,3.609741544400226587e+01
1.414837560310300546e+02,3.716412013800692193e+01,3.619604424055944492e+01
1.416853313219965003e+02,3.728733643959226640e+01,3.629229129715717050e+01
1.418869066129629459e+02,3.740818741897540178e+01,3.638611981959500952e+01
1.420884819039294200e+02,3.752662689027810927e+01,3.647749282352148725e+01
1.422900571948958657e+02,3.764260824187749677e+01,3.656637314446282971e+01
1.424916324858623113e+02,3.775608444611104630e+01,3.665272344830987095e+01
1.426932077768287570e+02,3.786700806968356403e+01,3.673650624227094141e+01
1.428947830677952027e+02,3.797533128479931008e+01,3.681768388629908628e+01
1.430963583587616483e+02,3.808100588103707196e+01,3.689621860500113115e+01
1.432979336497281224e+02,3.818398327798988134e+01,3.697207250003659595e+01
1.434995089406945681e+02,3.828421453868863011e+01,3.704520756301307927e+01
1.437010842316610137e+02,3.838165038382992122e+01,3.711558568888573717e+01
1.439026595226274594e+02,3.847624120682721127e+01,3.718316868986661916e+01
1.441042348135939051e+02,3.856793708970529622e+01,3.724791830985085284e+01
1.443058101045603507e+02,3.865668781985613123e+01,3.730979623936470801e+01
1.445073853955268248e+02,3.874244290767526877e+01,3.736876413104131700e+01
1.447089606864932705e+02,3.882515160509660745e+01,3.742478361562860556e+01
1.449105359774597162e+02,3.890476292504268940e+01,3.747781631853391104e+01
1.451121112684261618e+02,3.898122566180833815e+01,3.752782387690884036e+01
1.453136865593926075e+02,3.905448841239198998e+01,3.757476795727773577e+01
1.455152618503590531e+02,3.912449959879239714e+01,3.761861027371211463e+01
1.457168371413255272e+02,3.919120749128296666e+01,3.765931260655313650e+01
1.459184124322919729e+02,3.925456023267905437e+01,3.769683682168312089e+01
1.461199877232584186e+02,3.931450586360971045e+01,3.773114489034682606e+01
1.463215630142248642e+02,3.937099234880574272e+01,3.776219890952189928e+01
1.465231383051913099e+02,3.942396760441432946e+01,3.778996112283764575e+01
1.467247135961577840e+02,3.947337952634906344e+01,3.781439394204009830e+01
1.469262888871242296e+02,3.951917601968298754e+01,3.783545996900051733e+01
1.471278641780906753e+02,3.956130502909088875e+01,3.785312201826372558e+01
1.473294394690571210e+02,3.959971457034525599e+01,3.786734314013150993e+01
1.475310147600235666e+02,3.963435276286860187e+01,3.787808664427546290e+01
1.477325900509900123e+02,3.966516786334364042e+01,3.788531612387256331e+01
1.479341653419564864e+02,3.969210830038014137e+01,3.788899548025582931e+01
1.481357406329229320e+02,3.971512271023580354e+01,3.788908894807109817e+01
1.483373159238893777e+02,3.973415997358651452e+01,3.788556112093006334e+01
1.485388912148558234e+02,3.974916925333866402e+01,3.787837697754846999e+01
1.487404665058222690e+02,3.976010003347428778e+01,3.786750190835702057e+01
1.489420417967887147e+02,3.976690215891765945e+01,3.785290174257164608e+01
1.491436170877551888e+02,3.976952587640866454e+01,3.783454277570821489e+01
1.493451923787216344e+02,3.976792187636671372e+01,3.781239179752572710e+01
1.495467676696880801e+02,3.976204133572545629e+01,3.778641612038057218e+01
1.497483429606545258e+02,3.975183596171639522e+01,3.775658360797313406e+01
1.499499182516209714e+02,3.973725803657609390e+01,3.772286270446690537e+01
1.501514935425874171e+02,3.971826046314956216e+01,3.768522246395841790e+01
1.503530688335538912e+02,3.969479681135818794e+01,3.764363258027552206e+01
1.505546441245203368e+02,3.966682136549889037e+01,3.759806341707960797e+01
1.507562194154867825e+02,3.963428917233683535e+01,3.754848603824638076e+01
1.509577947064532282e+02,3.959715608995162484e+01,3.749487223849812523e+01
1.511593699974196738e+02,3.955537883729323312e+01,3.743719457425904551e+01
1.513609452883861479e+02,3.950891504440053836e+01,3.737542639470412098e+01
1.515625205793525936e+02,3.945772330323282517e+01,3.730954187296990199e+01
1.517640958703190392e+02,3.940176321905944690e+01,3.723951603749495831e+01
1.519656711612854849e+02,3.934099546235205480e+01,3.716532480345593825e+01
1.521672464522519306e+02,3.927538182111730691e+01,3.708694500426387464e+01
1.523688217432183762e+02,3.920488525360796928e+01,3.700435442308397427e+01
1.525703970341848503e+02,3.912946994134316014e+01,3.691753182434104730e+01
1.527719723251512960e+02,3.904910134236946817e+01,3.682645698517126220e+01
1.529735476161177417e+02,3.896374624468656123e+01,3.673111072677951938e+01
1.531751229070841873e+02,3.887337281976223835e+01,3.663147494566093343e+01
1.533766981980506330e+02,3.877795067605542556e+01,3.652753264464343630e+01
1.535782734890170786e+02,3.867745091246359834e+01,3.641926796370741926e+01
1.537798487799835527e+02,3.857184617160902462e+01,3.630666621053741494e+01
1.539814240709499984e+02,3.846111069287343298e+01,3.618971389075983325e+01
1.541829993619164441e+02,3.834522036508984399e+01,3.606839873781964201e+01
1.543845746528828897e+02,3.822415277879592566e+01,3.594270974244817296e+01
1.545861499438493354e+02,3.809788727795280749e+01,3.581263718167363663e+01
1.547877252348157811e+02,3.796640501102851317e+01,3.567817264732500604e+01
1.549893005257822551e+02,3.782968898134586766e+01,3.553930907397904093e+01
1.551908758167487008e+02,3.768772409658998868e+01,3.539604076630079987e+01
1.553924511077151465e+02,3.754049721737138157e+01,3.524836342572602632e+01
1.555940263986815921e+02,3.738799720473771515e+01,3.509627417643505964e+01
1.557956016896480378e+02,3.723021496652646078e+01,3.493977159056645121e+01
1.559971769806145119e+02,3.706714350245017897e+01,3.477885571261941777e+01
1.561987522715809575e+02,3.689877794780500153e+01,3.461352808299338335e+01
1.564003275625474032e+02,3.672511561569353944e+01,3.444379176061373471e+01
1.566019028535138489e+02,3.654615603765151377e+01,3.426965134459298667e+01
1.568034781444802945e+02,3.636190100257131519e+01,3.409111299487675950e+01
1.570050534354467402e+02,3.617235459381132756e+01,3.390818445182468821e+01
1.572066287264132143e+02,3.597752322438655881e+01,3.372087505467727908e+01
1.574082040173796599e+02,3.577741567013249835e+01,3.352919575886026848e+01
1.576097793083461056e+02,3.557204310073925768e+01,3.333315915207860769e+01
